,precision,recall,f1-score,support
0,0.8035714285714286,0.9183673469387755,0.8571428571428571,49.0
1,0.9560439560439561,0.8877551020408163,0.9206349206349206,98.0
accuracy,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694
macro avg,0.8798076923076923,0.903061224489796,0.8888888888888888,147.0
weighted avg,0.9052197802197801,0.8979591836734694,0.8994708994708995,147.0
